,wgt,total_return_1d,factor1,factor2,factor3,factor4,factor5,Intercept,country_AU,country_BE,country_CA,country_CH,country_CN,country_DE,country_DK,country_ES,country_FI,country_FR,country_GB,country_HK,country_IE,country_IT,country_JP,country_NL,country_NO,country_SE,country_US,sector_50,sector_51,sector_52,sector_53,sector_54,sector_55,sector_56,sector_57,sector_59,sector_60
28,0.000428149,-0.007103884,1.324196853,-0.159979075,0.900723732,2.048280649,-2.225570839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
29,0.00014798,-0.013810517,0.225315446,-0.661969838,1.049939876,2.576117875,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
30,0.00030467,-0.008983829,-0.103775543,-0.442706706,1.168745429,2.252770884,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
31,0.000886049,0.018475456,-1.281021217,1.079308619,-0.620264669,0.854189871,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
32,0.001171181,0.00271405,-0.469747198,-0.511375893,0.907861521,0.634496721,0.259923321,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
33,0.000413316,0.001864755,0.52918705,-0.654319395,1.391509018,1.566658064,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
34,0.000192928,-0.002713446,-0.012850118,-0.211802361,0.318400367,2.532603629,0.856462975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
35,0.000503795,0.013980768,-0.829781052,0.772537832,0.72517428,1.86887009,-0.717957797,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
36,0.008472896,-0.002349548,0.509188094,-0.415045016,1.084505282,-3,-1.085113929,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
37,0.000633817,-0.019150626,-0.785819119,-0.65403408,1.263814274,1.312686191,-0.405065241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
38,0.001062539,-0.002441717,-0.975714417,-0.707139295,1.15945461,0.628516888,-0.497320967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
39,0.000427686,-0.008889564,-0.517928953,0.003060274,0.315644896,2.123210932,-0.227731992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
40,0.003919219,-0.001823386,0.855238004,-0.519856073,1.903126836,-3,0.161640537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
41,0.00048381,0.009000415,0.734687265,1.124531159,0.232846032,1.536685385,0.847226248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
42,6.62E-05,0.012753666,-0.114723567,-1.47486747,-2.332622333,2.559387064,-0.639016681,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
43,0.000499534,0.01056135,-0.49949499,-0.34119768,0.881276561,1.920406925,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
44,0.000247856,0.017160503,-0.110931605,-1.64486255,0.28323252,2.026260159,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
